season,matchday,home_team,away_team,date,home_goals,away_goals,elo_home,elo_away,home_pts5,away_pts5,home_gf5,home_ga5,away_gf5,away_ga5
2024,12,Atalanta BC,Udinese Calcio,2024-11-10 11:30:00+00:00,2,1,1537.8888430862153,1495.5283552795986,15,6,18,2,5,6
2024,12,ACF Fiorentina,Hellas Verona FC,2024-11-10 14:00:00+00:00,3,1,1546.1460481970148,1471.4445135988599,15,6,15,2,6,13
2024,12,AS Roma,Bologna FC 1909,2024-11-10 14:00:00+00:00,2,3,1490.7857436709846,1516.7383759557947,4,9,5,10,6,3
2024,12,AC Monza,SS Lazio,2024-11-10 17:00:00+00:00,0,1,1465.008374319598,1536.6679574171324,5,12,6,6,12,4
2024,12,FC Internazionale Milano,SSC Napoli,2024-11-10 19:45:00+00:00,1,1,1554.369864090106,1552.7483011202148,13,12,12,6,7,4
2024,13,Hellas Verona FC,FC Internazionale Milano,2024-11-23 14:00:00+00:00,0,5,1463.5620662457648,1554.323192094969,3,11,5,15,10,5
2024,13,AC Milan,Juventus FC,2024-11-23 17:00:00+00:00,0,0,1518.0657261895904,1552.4687454181349,7,11,6,7,11,6
2024,13,Parma Calcio 1913,Atalanta BC,2024-11-23 19:45:00+00:00,1,3,1481.577533459602,1546.6756159467104,6,15,6,6,15,2
2024,13,Genoa CFC,Cagliari Calcio,2024-11-24 11:30:00+00:00,2,2,1464.5265436170466,1467.153339535465,5,4,4,7,7,11
2024,13,Como 1907,ACF Fiorentina,2024-11-24 14:00:00+00:00,0,2,1463.771664932738,1554.02849555011,2,15,3,9,16,2
2024,13,Torino FC,AC Monza,2024-11-24 14:00:00+00:00,1,1,1479.0309095524178,1457.0421453380407,3,4,3,7,5,6
2024,13,SSC Napoli,AS Roma,2024-11-24 17:00:00+00:00,1,0,1552.7949731153517,1481.531334254617,10,3,5,4,6,12
2024,13,SS Lazio,Bologna FC 1909,2024-11-24 19:45:00+00:00,3,0,1544.6341863986897,1525.9927853721624,12,11,11,3,8,4
2024,13,Empoli FC,Udinese Calcio,2024-11-25 17:30:00+00:00,1,1,1497.8705770946733,1486.7415824191035,5,3,3,6,5,8
2024,13,Venezia FC,US Lecce,2024-11-25 19:45:00+00:00,0,1,1449.0891550807657,1459.1194283840473,4,4,6,9,2,9
2024,14,Cagliari Calcio,Hellas Verona FC,2024-11-29 19:45:00+00:00,1,0,1467.0777357119525,1456.1165367756146,2,3,6,11,5,17
2024,14,Como 1907,AC Monza,2024-11-30 14:00:00+00:00,1,1,1456.3125627921877,1457.6741891952395,1,2,2,10,3,7
2024,14,AC Milan,Empoli FC,2024-11-30 17:00:00+00:00,3,0,1519.052701046577,1497.5503683870736,8,6,5,5,4,6
2024,14,Bologna FC 1909,Venezia FC,2024-11-30 19:45:00+00:00,3,0,1516.5288137530142,1439.3777693761765,10,4,8,7,6,8
2024,14,Udinese Calcio,Genoa CFC,2024-12-01 11:30:00+00:00,0,2,1487.0617911267032,1464.602147440559,4,5,6,8,4,7
2024,14,Parma Calcio 1913,SS Lazio,2024-12-01 14:00:00+00:00,3,1,1473.429584421748,1554.098158017838,5,15,6,8,14,2
2024,14,Torino FC,SSC Napoli,2024-12-01 14:00:00+00:00,0,1,1478.398865695219,1560.7721294439932,4,10,2,5,5,4
2024,14,US Lecce,Juventus FC,2024-12-01 19:45:00+00:00,1,1,1468.8308140886365,1551.481770561148,7,9,3,3,10,6
2024,14,AS Roma,Atalanta BC,2024-12-02 19:45:00+00:00,0,2,1473.5541779259754,1554.8235649845644,3,15,6,12,16,3
2024,15,FC Internazionale Milano,Parma Calcio 1913,2024-12-06 17:30:00+00:00,3,1,1561.7687215651192,1485.7105707090109,11,7,14,5,8,8
2024,15,Atalanta BC,AC Milan,2024-12-06 19:45:00+00:00,2,1,1562.5261921026408,1528.4346031103094,15,8,12,2,7,5
2024,15,Genoa CFC,Torino FC,2024-12-07 14:00:00+00:00,0,0,1475.2476889924715,1470.726311741928,8,1,6,4,1,6
2024,15,Juventus FC,Bologna FC 1909,2024-12-07 17:00:00+00:00,2,2,1549.146766244661,1524.3440214008344,9,12,7,3,9,5
2024,15,AS Roma,US Lecce,2024-12-07 19:45:00+00:00,4,1,1465.851550807899,1471.1658184051237,3,8,5,9,4,3
2024,15,ACF Fiorentina,Cagliari Calcio,2024-12-08 11:30:00+00:00,1,0,1561.4875976906603,1476.7623516762756,15,5,12,2,7,9
2024,15,Hellas Verona FC,Empoli FC,2024-12-08 14:00:00+00:00,1,4,1446.4319208112915,1488.1684663233414,3,5,4,12,3,8
2024,15,Venezia FC,Como 1907,2024-12-08 17:00:00+00:00,2,2,1431.5625617283563,1456.351753349767,3,2,4,9,3,10
2024,15,SSC Napoli,SS Lazio,2024-12-08 19:45:00+00:00,0,1,1568.4446833972843,1541.817171730575,10,12,5,4,12,5
2024,15,AC Monza,Udinese Calcio,2024-12-09 19:45:00+00:00,1,2,1457.6349986376601,1476.4162495747908,2,1,2,6,4,10
2024,16,Empoli FC,Torino FC,2024-12-13 19:45:00+00:00,0,1,1496.9729371888245,1470.8564400943465,8,2,7,6,1,5
2024,16,Cagliari Calcio,Atalanta BC,2024-12-14 14:00:00+00:00,0,1,1469.1537244481333,1571.5480943944046,5,15,7,8,12,3
2024,16,Udinese Calcio,SSC Napoli,2024-12-14 17:00:00+00:00,1,3,1485.8762076422352,1557.6797790273938,4,7,4,8,3,5
2024,16,Juventus FC,Venezia FC,2024-12-14 19:45:00+00:00,2,2,1548.4340961006394,1432.2748437594782,9,1,7,3,3,9
2024,16,US Lecce,AC Monza,2024-12-15 11:30:00+00:00,2,1,1461.0128734156456,1448.1750405702157,5,2,4,7,3,6
2024,16,Bologna FC 1909,ACF Fiorentina,2024-12-15 14:00:00+00:00,1,0,1525.056691544856,1569.0962249188026,10,15,9,7,8,1
2024,16,Parma Calcio 1913,Hellas Verona FC,2024-12-15 14:00:00+00:00,2,3,1477.8653880506533,1437.6274499458084,6,3,7,9,5,15
2024,16,Como 1907,AS Roma,2024-12-15 17:00:00+00:00,2,0,1455.639471318645,1476.004495797377,3,3,4,7,8,10
2024,16,AC Milan,Genoa CFC,2024-12-15 19:45:00+00:00,0,0,1519.4127008185455,1475.117560640053,8,9,8,5,6,3
2024,16,SS Lazio,FC Internazionale Milano,2024-12-16 19:45:00+00:00,0,6,1552.5820761004654,1569.6139042234768,12,13,8,4,13,2
2024,17,Hellas Verona FC,AC Milan,2024-12-20 19:45:00+00:00,0,1,1448.7804405208983,1518.1446471341326,3,6,5,15,7,5
2024,17,Torino FC,Bologna FC 1909,2024-12-21 14:00:00+00:00,0,2,1481.606720702291,1536.317505896902,5,10,2,4,9,7
2024,17,Genoa CFC,SSC Napoli,2024-12-21 17:00:00+00:00,1,2,1476.385614324466,1565.64203544617,7,10,5,3,6,3
2024,17,US Lecce,SS Lazio,2024-12-21 19:45:00+00:00,1,2,1470.6435389553692,1543.0718992160596,8,9,6,7,6,9
2024,17,AS Roma,Parma Calcio 1913,2024-12-22 11:30:00+00:00,5,0,1465.4190136445593,1466.7123974755634,3,6,6,9,9,11
2024,17,Venezia FC,Cagliari Calcio,2024-12-22 14:00:00+00:00,2,1,1435.4989333827832,1462.0184085886365,2,5,5,10,6,7
2024,17,Atalanta BC,Empoli FC,2024-12-22 17:00:00+00:00,3,2,1578.6834102539015,1486.22265658088,15,5,10,3,6,7
2024,17,AC Monza,Juventus FC,2024-12-22 19:45:00+00:00,1,2,1438.5443750304921,1545.2100064773344,2,7,4,7,7,5
2024,17,ACF Fiorentina,Udinese Calcio,2024-12-23 17:30:00+00:00,1,2,1557.8354105667565,1477.913951223459,12,4,7,2,5,9
2024,17,FC Internazionale Milano,Como 1907,2024-12-23 19:45:00+00:00,2,0,1579.1240811078826,1466.2249534714629,13,6,16,2,6,6
2024,18,Empoli FC,Genoa CFC,2024-12-28 14:00:00+00:00,1,2,1478.8227967619584,1468.8995574313608,4,6,7,9,5,4
2024,18,Parma Calcio 1913,AC Monza,2024-12-28 14:00:00+00:00,2,1,1456.6751710684168,1431.521505582916,3,2,7,15,5,8
2024,18,Cagliari Calcio,FC Internazionale Milano,2024-12-28 17:00:00+00:00,0,3,1451.256595638227,1585.984324266148,4,13,4,6,17,2
2024,18,SS Lazio,Atalanta BC,2024-12-28 19:45:00+00:00,1,1,1551.0169258182675,1586.083270072823,9,15,7,10,11,4
2024,18,Udinese Calcio,Torino FC,2024-12-29 11:30:00+00:00,2,2,1490.1745426762727,1473.168535586613,7,5,6,8,2,4
2024,18,SSC Napoli,Venezia FC,2024-12-29 14:00:00+00:00,1,0,1573.128092339275,1446.2607463331926,12,5,7,3,6,9
2024,18,Juventus FC,ACF Fiorentina,2024-12-29 17:00:00+00:00,2,2,1552.2328759249106,1545.5748191139428,7,9,7,6,7,4
2024,18,AC Milan,AS Roma,2024-12-29 19:45:00+00:00,1,1,1526.1742940012366,1475.456240051706,8,6,5,2,9,6
2024,18,Como 1907,US Lecce,2024-12-30 17:30:00+00:00,2,0,1459.3647103131975,1462.6985123531613,5,7,5,7,6,8
2024,18,Bologna FC 1909,Hellas Verona FC,2024-12-30 19:45:00+00:00,2,3,1544.7556910125802,1440.7507936537943,10,3,8,5,4,13
2024,19,Venezia FC,Empoli FC,2025-01-04 14:00:00+00:00,1,1,1439.758199748243,1468.5372606130375,5,3,6,9,7,10
2024,19,ACF Fiorentina,SSC Napoli,2025-01-04 17:00:00+00:00,0,3,1545.7664299385062,1579.6306389242247,7,12,6,5,7,3
2024,19,Hellas Verona FC,Udinese Calcio,2025-01-04 19:45:00+00:00,0,0,1453.6579717071602,1489.6854609693482,6,7,7,10,7,9
2024,19,AC Monza,Cagliari Calcio,2025-01-05 11:30:00+00:00,1,2,1422.2442240088694,1444.951022779274,1,3,5,9,2,7
2024,19,US Lecce,Genoa CFC,2025-01-05 14:00:00+00:00,0,0,1452.6025607619822,1479.1850935802818,4,8,5,10,5,3
2024,19,Torino FC,Parma Calcio 1913,2025-01-05 17:00:00+00:00,0,0,1473.6576172935374,1465.9524526424634,5,6,3,5,8,13
2024,19,AS Roma,SS Lazio,2025-01-05 19:45:00+00:00,2,0,1476.9057414578829,1552.0228031402362,7,7,10,6,5,11
2024,20,SS Lazio,Como 1907,2025-01-10 19:45:00+00:00,1,1,1539.8938298425592,1469.4606619043766,7,8,4,10,7,5
2024,20,Empoli FC,US Lecce,2025-01-11 14:00:00+00:00,1,3,1467.7108219325007,1453.3661780982136,4,4,8,8,4,9
2024,20,Udinese Calcio,Atalanta BC,2025-01-11 14:00:00+00:00,0,0,1488.6522072591695,1585.0773927508544,8,13,7,7,9,4
2024,20,Torino FC,Juventus FC,2025-01-11 17:00:00+00:00,1,1,1473.4358811787151,1552.0412651003471,6,7,3,4,9,8
2024,20,AC Milan,Cagliari Calcio,2025-01-11 19:45:00+00:00,1,1,1524.7247925950596,1454.2983975031632,8,3,6,3,3,8
2024,20,Genoa CFC,Parma Calcio 1913,2025-01-12 11:30:00+00:00,1,0,1478.4214762440504,1466.1741887572857,6,4,3,3,5,12
2024,20,Venezia FC,FC Internazionale Milano,2025-01-12 14:00:00+00:00,0,1,1440.5846384287797,1592.289897125101,6,15,7,7,19,1
2024,20,Bologna FC 1909,AS Roma,2025-01-12 17:00:00+00:00,2,2,1531.8485129592143,1489.03471475556,10,10,10,5,12,4
2024,20,SSC Napoli,Hellas Verona FC,2025-01-12 19:45:00+00:00,2,0,1588.659023542859,1454.691225417339,12,7,9,3,7,9
2024,20,AC Monza,ACF Fiorentina,2025-01-13 19:45:00+00:00,2,1,1412.8968492849801,1536.738045319872,0,4,5,10,4,8
2024,19,Como 1907,AC Milan,2025-01-14 17:30:00+00:00,1,2,1471.460569735842,1522.725071905701,8,6,7,5,4,4
